liczba,tresc
1,"Napierdalanie żony szablą jest prawem, a nie towarem!"
2,"Kariera w pierwszej kolejności, a później może dziecko. Prowadzi to do tragicznych konsekwencji."
3,Dzieci przeskakują na whiskey z colą z kompotu babci.
4,Karcenie jest jednym z najważniejszych środków wychowawczych.
5,"Ja mam mnóstwo skrzynek. Nie wiem, która jest prywatna."
6,Nie przewiduje tego Konstytucja ani nic innego.
7,To szatan. Nazywajmy rzeczy po imieniu.
8,Ci ludzie nie są równi ludziom normalnym i skończmy z tą dyskusją.
9,Nie mam żadnego miecza anty-LGBT i nie planuję żadnej krucjaty.
10,Take it easy.
11,"Skupcie się na nauce, na seks przyjdzie czas."
12,"Musimy za kardynałem Wyszyńskim powtarzać, że dla nas największa miłość po Bogu to Polska."
13,O to walczyli nasi przodkowie przez ostatnie 1051 lat.
14,"Dzisiaj strona opozycyjna od Platformy Obywatelskiej stała się po prostu lewacką organizacją. Mają obsesje na punkcie jakiejś edukacji seksualnej, rozszerzania jej w sposób absolutnie nieprawdopodobny."
15,"Atakowanie ministra zdrowia, który jest głównym autorem sukcesu Polski na arenie międzynarodowej, jest działaniem na zlecenie PO."
16,Gdyby to był Prima aprilis... Ale nie jest.
17,Ideologia LGBT jest sprzeczna z Konstytucją RP.
18,"To jest moje zdanie jako Przemysława Czarnka, a nie ministra edukacji i nauki."
19,"Krótko mówiąc, ciągnie swój do swego."
20,"Nikogo nie będę atakował, ze wszystkimi chcę żyć w zgodzie."
21,"Jeżeli chcemy realnie działać w obronie rodziny i dziecka, to rozmawiajmy rzetelnie o tej zbrodni."
22,"Tak, a o co chodzi?"
23,Miałem 13 lat i szalałem na punkcie jego kandydatury.
24,"Nie promujmy zboczeń, dewiacji i wynaturzeń."
25,"Taki sam cel przyświeca nam wszystkim, dzisiaj tu obecnym, taki cel musi nam przyświecać."
26,Wynika to wprost z przepisów art. 111 ustawy.
27,"To są oczywiste sprawy, znane ludziom od miliardów lat."
28,Naprawdę mam bardzo dobre relacje z młodzieżą i spotykam się z nią cyklicznie.
29,"Ci młodzi ludzie chyba nie do końca wiedzieli, do czego się przyklejają."
30,"Jeśli jedni mają prawo do mocnych słów, a nawet wulgaryzmów to ja w zachowaniu osób ze Stowarzyszenia Marsz Niepodległości nie widzę niczego niestosownego."
31,"Idź i pracuj, jeździj na traktorze, na kombajnie, ucz się, rób karierę."
32,"To są konsekwencje tłumaczenia kobiecie, że nie musi robić tego, do czego została przez pana Boga powołana."
33,"To jest dokładnie jak kałuża sucha albo morze suche. Albo jest kałuża, albo jej nie ma. Jak nie ma wody, to już nie jest kałuża. "
34,Ci ludzie nie są równi ludziom normalnym i skończmy wreszcie z tą dyskusją.
35,"Niekiedy istnieje konieczność zastosowania przymusu fizycznego, w tym kary cielesnej."
36,Postępuje szybko animalizacja człowieka i humanizacja roślin i zwierząt.
